Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.8,1.8,1.8,0.593
2026-03-19,1.812,1.812,1.812,0.597
2026-03-20,1.8,1.8,1.8,0.593
2026-03-21,1.798,1.798,1.798,0.592
2026-03-22,1.803,1.803,1.803,0.594
2026-03-23,1.808,1.808,1.808,0.596
2026-03-24,1.808,1.808,1.808,0.596
2026-03-25,1.798,1.798,1.798,0.592
2026-03-26,2.229,1.802,2.072,0.667
2026-03-27,2.231,1.803,2.074,0.667
2026-03-28,2.223,1.797,2.067,0.665
2026-03-29,2.228,1.801,2.072,0.666
2026-03-30,2.239,1.81,2.082,0.67
2026-03-31,2.229,1.802,2.073,0.667
