Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.538,1.459,1.518,
2026-03-19,1.552,1.471,1.53,0.876
2026-03-20,1.602,1.493,1.554,0.876
2026-03-21,1.607,1.501,1.562,0.876
2026-03-22,1.614,1.505,1.567,0.876
2026-03-23,1.614,1.505,1.567,0.876
2026-03-24,1.643,1.525,1.585,0.876
2026-03-25,1.67,1.541,1.6,0.876
2026-03-26,1.67,1.541,1.6,0.876
2026-03-27,1.67,1.541,1.601,0.876
2026-03-28,1.67,1.541,1.601,0.876
2026-03-29,1.67,1.541,1.601,0.876
2026-03-30,1.67,1.541,1.601,0.876
2026-03-31,1.67,1.541,1.601,0.876
2026-04-01,1.67,1.541,1.601,0.876
2026-04-02,1.69,1.561,1.621,0.876
2026-04-03,1.697,1.569,1.629,0.876
2026-04-04,1.697,1.569,1.629,0.876
2026-04-05,1.697,1.569,1.629,0.876
2026-04-06,1.697,1.569,1.629,0.876
2026-04-07,1.697,1.569,1.629,0.876
2026-04-08,1.697,1.569,1.629,0.876
2026-04-09,1.73,1.582,1.643,0.876
2026-04-10,1.758,1.596,1.657,0.876
2026-04-11,1.76,1.598,1.66,0.876
2026-04-12,1.761,1.599,1.66,0.876
2026-04-13,1.761,1.599,1.66,0.876
2026-04-14,1.762,1.599,1.66,0.876
2026-04-15,1.762,1.599,1.66,0.876
2026-04-16,1.762,1.599,1.66,0.876
