Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,2.013,1.741,1.813,0.925
2026-03-19,2.103,1.832,1.902,0.925
2026-03-20,2.103,1.824,1.901,0.885
2026-03-21,2.103,1.823,1.901,0.885
2026-03-22,2.095,1.822,1.898,0.884
2026-03-23,2.095,1.824,1.898,0.884
2026-03-24,2.289,1.859,1.929,0.884
2026-03-25,2.232,1.851,1.897,0.884
2026-03-26,2.231,1.85,1.897,0.884
2026-03-27,2.16,1.83,1.866,0.884
2026-03-28,2.15,1.829,1.861,0.999
2026-03-29,2.147,1.839,1.861,0.999
2026-03-30,2.15,1.839,1.861,0.999
2026-03-31,2.252,1.913,1.952,1.049
2026-04-01,2.254,1.915,1.954,1.051
2026-04-02,2.252,1.912,1.954,1.051
2026-04-03,2.27,1.894,1.946,1.051
2026-04-04,2.266,1.889,1.942,1.034
2026-04-05,2.308,1.889,1.942,1.034
2026-04-06,2.308,1.889,1.942,1.034
2026-04-07,2.308,1.889,1.942,1.034
2026-04-08,2.398,1.934,1.982,1.034
2026-04-09,2.394,1.929,1.982,1.034
2026-04-10,2.142,1.841,1.893,1.033
2026-04-11,2.171,1.836,1.893,1.033
2026-04-12,2.171,1.836,1.893,1.033
2026-04-13,2.169,1.836,1.893,1.033
2026-04-14,2.166,1.867,1.91,0.971
2026-04-15,2.161,1.895,1.935,0.971
