Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.564,1.28,,0.689
2026-03-19,1.581,1.291,,0.694
2026-03-20,1.572,1.279,,0.691
2026-03-21,1.597,1.298,,0.696
2026-03-22,1.607,1.311,,0.697
2026-03-23,1.618,1.313,,0.7
2026-03-24,1.624,1.318,,0.702
2026-03-25,1.639,1.316,,0.699
2026-03-26,1.652,1.32,,0.7
2026-03-27,1.669,1.319,,0.701
2026-03-28,1.679,1.32,,0.698
2026-03-29,1.701,1.325,,0.701
2026-03-30,1.714,1.341,,0.704
2026-03-31,1.713,1.349,,0.701
2026-04-01,1.718,1.353,,0.694
2026-04-02,1.751,1.375,,0.719
2026-04-03,1.766,1.381,,0.717
2026-04-04,1.777,1.394,,0.72
2026-04-05,1.778,1.408,,0.72
2026-04-06,1.794,1.413,,0.722
2026-04-07,1.798,1.43,,0.721
2026-04-08,1.801,1.423,,0.716
2026-04-09,1.824,1.444,,0.727
2026-04-10,1.827,1.441,,0.783
