Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.493,1.463,,0.64
2026-03-19,1.506,1.464,,0.65
2026-03-20,1.515,1.467,,0.65
2026-03-21,1.529,1.471,,0.65
2026-03-22,1.539,1.474,,0.65
2026-03-23,1.547,1.474,,0.65
2026-03-24,1.549,1.47,,0.65
2026-03-25,1.556,1.473,,0.65
2026-03-26,1.571,1.482,,0.65
2026-03-27,1.577,1.484,,0.65
2026-03-28,1.583,1.489,,0.65
2026-03-29,1.591,1.49,,0.67
2026-03-30,1.594,1.491,,0.69
2026-03-31,1.605,1.493,,0.69
2026-04-01,1.614,1.497,,0.69
2026-04-02,1.626,1.489,,0.69
2026-04-03,1.636,1.491,,0.69
2026-04-04,1.652,1.492,,0.71
2026-04-05,1.663,1.494,,0.71
2026-04-06,1.674,1.494,,0.71
2026-04-07,1.68,1.497,,0.71
2026-04-08,1.695,1.501,,0.71
2026-04-09,1.7,1.504,,0.71
2026-04-10,1.709,1.503,,0.71
2026-04-11,1.716,1.504,,0.71
2026-04-12,1.718,1.505,,0.71
2026-04-13,1.721,1.507,,0.71
