Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.614,1.439,1.497,
2026-03-19,1.627,1.449,1.505,
2026-03-20,1.648,1.459,1.517,
2026-03-21,1.657,1.465,1.521,
2026-03-22,1.66,1.466,1.522,
2026-03-23,1.661,1.467,1.517,
2026-03-24,1.709,1.49,1.539,
2026-03-25,1.727,1.498,1.557,
2026-03-26,1.731,1.5,1.56,
2026-03-27,1.766,1.522,1.583,
2026-03-28,1.785,1.547,1.604,
2026-03-29,1.789,1.551,1.611,
2026-03-30,1.807,1.563,1.606,
2026-03-31,1.825,1.574,1.631,
2026-04-01,1.854,1.584,1.642,
2026-04-02,1.863,1.586,1.643,
2026-04-03,1.902,1.59,1.657,
2026-04-04,1.857,1.529,1.596,
2026-04-05,1.843,1.515,1.583,
2026-04-06,1.843,1.514,1.565,
2026-04-07,1.843,1.513,1.58,
2026-04-08,1.843,1.514,1.582,
2026-04-09,1.843,1.518,1.592,
2026-04-10,1.844,1.521,1.596,
2026-04-11,1.844,1.521,1.596,
2026-04-12,1.844,1.521,1.596,
2026-04-13,1.844,1.521,1.589,
2026-04-14,1.844,1.521,1.595,
2026-04-15,1.845,1.52,1.596,
2026-04-16,1.852,1.525,1.602,
2026-04-17,1.863,1.528,1.606,
2026-04-18,1.866,1.529,1.607,
2026-04-19,1.866,1.529,1.607,
2026-04-20,1.867,1.53,1.592,
2026-04-21,1.877,1.536,1.61,
2026-04-22,1.883,1.538,1.612,
2026-04-23,1.885,1.534,1.608,
2026-04-24,1.886,1.533,1.607,
2026-04-25,1.887,1.533,1.607,
2026-04-26,1.887,1.533,1.606,
2026-04-27,1.887,1.533,1.59,
2026-04-28,1.887,1.533,1.607,
2026-04-29,1.887,1.533,1.607,
2026-04-30,1.888,1.542,1.612,
2026-05-01,1.888,1.544,1.613,
2026-05-02,1.888,1.544,1.614,
2026-05-03,1.888,1.545,1.614,
2026-05-04,1.888,1.545,1.598,
2026-05-05,1.888,1.546,1.614,
2026-05-06,1.888,1.552,1.621,
2026-05-07,1.885,1.559,1.627,
2026-05-08,1.884,1.561,1.629,
2026-05-09,1.884,1.561,1.629,
2026-05-10,1.884,1.562,1.63,
2026-05-11,1.879,1.562,1.614,
2026-05-12,1.87,1.562,1.63,
2026-05-13,1.864,1.563,1.631,
2026-05-14,1.852,1.563,1.63,
2026-05-15,1.828,1.563,1.63,
2026-05-16,1.825,1.563,1.63,
2026-05-17,1.824,1.563,1.63,
2026-05-18,1.824,1.563,1.63,
2026-05-19,1.824,1.563,1.63,
2026-05-20,1.824,1.563,1.63,
2026-05-21,1.808,1.578,1.646,
2026-05-22,1.824,1.563,1.63,
2026-05-23,1.824,1.563,1.63,
2026-05-24,1.824,1.563,1.63,
2026-05-25,1.804,1.589,1.638,
2026-05-26,1.824,1.563,1.63,
2026-05-27,1.884,1.562,1.63,
2026-05-28,1.802,1.606,1.666,
2026-05-29,1.802,1.61,1.669,
2026-05-30,1.801,1.61,1.67,
2026-05-31,1.801,1.61,1.671,
2026-06-01,1.801,1.61,1.659,
2026-06-02,1.801,1.611,1.658,
2026-06-03,1.796,1.609,1.669,
2026-06-04,1.792,1.607,1.669,
2026-06-05,1.783,1.606,1.668,
2026-06-06,1.78,1.605,1.668,
2026-06-07,1.778,1.604,1.668,
2026-06-08,1.771,1.603,1.652,
2026-06-09,1.768,1.602,1.667,
2026-06-10,1.753,1.593,1.65,
2026-06-11,1.739,1.586,1.645,
2026-06-12,1.732,1.582,1.641,
2026-06-13,1.727,1.577,1.639,
2026-06-14,1.724,1.575,1.638,
2026-06-15,1.719,1.57,1.617,
2026-06-16,1.713,1.566,1.631,
2026-06-17,1.704,1.557,1.626,
2026-06-18,1.696,1.549,1.621,
2026-06-19,1.692,1.546,1.62,
2026-06-20,1.69,1.543,1.618,
2026-06-21,1.69,1.542,1.616,
2026-06-22,1.69,1.542,1.616,
2026-06-23,1.69,1.542,1.616,
2026-06-24,1.69,1.542,1.616,
2026-06-25,1.668,1.533,1.612,
2026-06-26,1.662,1.531,1.611,
2026-06-27,1.643,1.524,1.597,
2026-06-28,1.637,1.52,1.594,
2026-06-29,1.637,1.52,1.594,
2026-06-30,1.637,1.52,1.594,
2026-07-01,1.608,1.497,1.577,
2026-07-02,1.593,1.485,1.559,
2026-07-03,1.585,1.479,1.553,
2026-07-04,1.581,1.476,1.55,
2026-07-05,1.579,1.474,1.549,
2026-07-06,1.577,1.472,1.531,
2026-07-07,1.573,1.47,1.544,
2026-07-08,1.571,1.468,1.542,
2026-07-09,1.57,1.468,1.541,
2026-07-10,1.569,1.467,1.541,
2026-07-11,1.568,1.467,1.54,
2026-07-12,1.568,1.467,1.54,
2026-07-13,1.568,1.467,1.54,
2026-07-14,1.565,1.465,1.536,
2026-07-15,1.567,1.465,1.538,
2026-07-16,1.577,1.471,1.543,
2026-07-17,1.581,1.473,1.543,
2026-07-18,1.589,1.48,1.553,
2026-07-19,1.59,1.481,1.554,
2026-07-20,1.593,1.483,1.54,
2026-07-21,1.597,1.486,1.558,
2026-07-22,1.603,1.491,1.564,
2026-07-23,1.616,1.499,1.571,
2026-07-24,1.625,1.504,1.576,
