Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,2.239,2.131,,
2026-03-19,2.253,2.131,,
2026-03-20,2.304,2.147,,
2026-03-21,2.355,2.168,,
2026-03-22,2.357,2.168,,
2026-03-23,2.361,2.172,,
2026-03-24,2.416,2.199,,
2026-03-25,2.372,2.166,,
2026-03-26,2.365,2.146,,
2026-03-27,2.335,2.131,,
2026-03-28,2.388,2.146,,
2026-03-29,2.388,2.146,,
2026-03-30,2.396,2.158,,
2026-03-31,2.431,2.172,,
2026-04-01,2.427,2.198,,
2026-04-02,2.418,2.198,,
2026-04-03,2.408,2.198,,
2026-04-04,2.409,2.198,,
2026-04-05,2.409,2.198,,
2026-04-06,2.41,2.198,,
2026-04-07,2.411,2.198,,
2026-04-08,2.481,2.198,2.323,
2026-04-09,2.485,2.198,2.323,
2026-04-10,2.399,2.19,2.323,
2026-04-11,2.403,2.19,2.323,
2026-04-12,2.403,2.19,2.323,
2026-04-13,2.403,2.19,2.323,
2026-04-14,2.41,2.19,2.323,
2026-04-15,2.372,2.151,2.323,
2026-04-16,2.319,2.139,2.323,
2026-04-17,2.297,2.125,2.323,
2026-04-18,2.297,2.125,2.323,
2026-04-19,2.295,2.123,2.321,
2026-04-20,2.297,2.124,2.323,
2026-04-21,2.263,2.111,2.323,
2026-04-22,2.253,2.11,2.322,
2026-04-23,2.251,2.123,2.323,
2026-04-24,2.279,2.153,2.323,
2026-04-25,2.3,2.181,2.323,
2026-04-26,2.301,2.184,2.323,
2026-04-27,2.301,2.184,2.323,
2026-04-28,2.309,2.184,2.323,
