Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,2.162,2.036,2.164,1.118
2026-03-19,2.179,2.052,2.17,1.118
2026-03-20,2.274,2.08,2.199,1.12
2026-03-21,2.296,2.081,2.196,1.122
2026-03-22,2.306,2.085,2.202,1.122
2026-03-23,2.308,2.087,2.202,1.122
2026-03-24,2.302,2.076,2.189,1.124
2026-03-25,2.278,2.068,2.188,1.126
2026-03-26,2.238,2.052,2.173,1.127
2026-03-27,2.246,2.061,2.179,1.138
2026-03-28,2.276,2.073,2.19,1.138
2026-03-29,2.309,2.109,2.216,1.138
2026-03-30,2.329,2.134,2.259,1.138
2026-03-31,2.336,2.124,2.227,1.141
2026-04-01,2.33,2.129,2.262,1.147
2026-04-02,2.307,2.111,2.243,1.148
2026-04-03,2.351,2.138,2.264,1.185
2026-04-04,2.402,2.167,2.291,1.187
2026-04-05,2.427,2.18,2.304,1.187
2026-04-06,2.432,2.18,2.305,1.187
2026-04-07,2.431,2.181,2.306,1.189
2026-04-08,2.44,2.173,2.298,1.19
2026-04-09,2.378,2.117,2.242,1.192
2026-04-10,2.302,2.084,2.21,1.186
2026-04-11,2.292,2.086,2.212,1.19
2026-04-12,2.279,2.083,2.21,1.19
2026-04-13,2.272,2.078,2.205,1.19
2026-04-14,2.286,2.095,2.219,1.191
2026-04-15,2.243,2.076,2.204,1.192
2026-04-16,2.194,2.057,2.185,1.192
2026-04-17,2.181,2.053,2.182,1.196
2026-04-18,2.167,2.051,2.18,1.199
2026-04-19,2.131,2.036,2.167,1.199
2026-04-20,2.125,2.034,2.161,1.199
2026-04-21,2.115,2.034,2.163,1.205
2026-04-22,2.093,2.034,2.163,1.205
