Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.825,1.542,1.586,
2026-03-19,1.855,1.544,1.586,
2026-03-20,1.872,1.548,1.586,
2026-03-21,1.932,1.55,1.586,
2026-03-22,1.932,1.551,1.586,
2026-03-23,1.933,1.551,1.586,
2026-03-24,1.962,1.557,1.586,
2026-03-25,1.994,1.562,1.586,
2026-03-26,2.003,1.568,1.586,
2026-03-27,1.998,1.569,1.586,
2026-03-28,1.999,1.572,1.586,
2026-03-29,1.999,1.571,1.586,
2026-03-30,1.999,1.571,1.586,
2026-03-31,2.018,1.576,1.586,
2026-04-01,2.044,1.578,1.586,
2026-04-02,2.044,1.585,1.586,
2026-04-03,2.05,1.589,1.586,
2026-04-04,2.052,1.591,1.586,
2026-04-05,2.052,1.591,1.586,
2026-04-06,2.051,1.591,1.586,
2026-04-07,2.075,1.591,1.586,
2026-04-08,2.081,1.592,1.586,
2026-04-09,2.084,1.599,1.586,
2026-04-10,2.087,1.603,1.586,
2026-04-11,2.088,1.606,1.586,
2026-04-12,2.088,1.608,1.586,
2026-04-13,2.088,1.609,1.586,
2026-04-14,2.094,1.611,1.586,
2026-04-15,2.092,1.616,1.586,
2026-04-16,2.073,1.617,1.586,
2026-04-17,2.076,1.62,1.586,
2026-04-18,2.054,1.622,1.586,
2026-04-19,2.056,1.622,1.586,
2026-04-20,2.056,1.622,1.586,
2026-04-21,2.021,1.621,1.586,
2026-04-22,1.963,1.62,1.586,
2026-04-23,1.948,1.62,1.586,
2026-04-24,1.959,1.622,1.586,
2026-04-25,1.957,1.624,1.586,
2026-04-26,1.957,1.624,1.586,
2026-04-27,1.962,1.624,1.586,
2026-04-28,1.984,1.626,1.586,
2026-04-29,1.999,1.626,1.586,
2026-04-30,2.002,1.627,1.586,
2026-05-01,2.013,1.628,1.586,
2026-05-02,2.014,1.63,1.586,
2026-05-03,2.014,1.63,1.586,
2026-05-04,2.013,1.63,1.586,
2026-05-05,2.016,1.632,1.586,
2026-05-06,2.016,1.632,1.586,
2026-05-07,2.003,1.633,1.586,
2026-05-08,2.002,1.635,1.586,
2026-05-09,1.988,1.635,1.586,
2026-05-10,1.99,1.635,1.586,
2026-05-11,1.989,1.637,1.586,
2026-05-12,1.977,1.639,1.586,
2026-05-13,1.96,1.64,1.586,
2026-05-14,1.952,1.642,1.586,
2026-05-15,1.946,1.644,1.586,
2026-05-16,1.946,1.645,1.586,
2026-05-17,1.946,1.646,1.586,
2026-05-18,1.946,1.646,1.586,
2026-05-19,1.946,1.646,1.586,
2026-05-20,1.946,1.646,1.586,
2026-05-21,1.945,1.651,1.585,
2026-05-22,1.946,1.646,1.586,
2026-05-23,1.946,1.646,1.586,
2026-05-24,1.946,1.646,1.586,
2026-05-25,1.944,1.653,1.583,
2026-05-26,1.946,1.646,1.586,
2026-05-27,1.988,1.635,1.586,
2026-05-28,1.917,1.657,1.583,
2026-05-29,1.906,1.66,1.583,
2026-05-30,1.9,1.661,1.583,
2026-05-31,1.9,1.661,1.583,
2026-06-01,1.899,1.661,1.583,
2026-06-02,1.871,1.665,1.583,
2026-06-03,1.864,1.665,1.583,
2026-06-04,1.851,1.665,1.583,
2026-06-05,1.847,1.666,1.583,
2026-06-06,1.847,1.666,1.583,
2026-06-07,1.847,1.666,1.583,
2026-06-08,1.847,1.666,1.582,
2026-06-09,1.847,1.665,1.582,
2026-06-10,1.844,1.667,1.582,
2026-06-11,1.837,1.666,1.582,
2026-06-12,1.829,1.665,1.582,
2026-06-13,1.825,1.665,1.582,
2026-06-14,1.825,1.665,1.582,
2026-06-15,1.825,1.665,1.582,
2026-06-16,1.815,1.663,1.582,
2026-06-17,1.8,1.663,1.582,
2026-06-18,1.789,1.663,1.582,
2026-06-19,1.776,1.662,1.582,
2026-06-20,1.743,1.66,1.582,
2026-06-21,1.743,1.661,1.58,
2026-06-22,1.743,1.661,1.58,
2026-06-23,1.743,1.661,1.58,
2026-06-24,1.743,1.661,1.58,
2026-06-25,1.715,1.658,1.58,
2026-06-26,1.715,1.659,1.58,
2026-06-27,1.713,1.659,1.58,
2026-06-28,1.713,1.658,1.58,
2026-06-29,1.713,1.658,1.58,
2026-06-30,1.713,1.658,1.58,
2026-07-01,1.706,1.656,1.58,
2026-07-02,1.707,1.652,1.58,
2026-07-03,1.718,1.652,1.58,
2026-07-04,1.718,1.654,1.58,
2026-07-05,1.718,1.654,1.58,
2026-07-06,1.718,1.654,1.58,
2026-07-07,1.716,1.653,1.58,
2026-07-08,1.717,1.654,1.58,
2026-07-09,1.719,1.655,1.58,
2026-07-10,1.721,1.656,1.579,
2026-07-11,1.721,1.656,1.579,
2026-07-12,1.721,1.656,1.579,
2026-07-13,1.721,1.656,1.579,
2026-07-14,1.747,1.662,1.579,
2026-07-15,1.753,1.662,1.579,
