Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,2.11,1.676,,
2026-03-19,2.141,1.679,,
2026-03-20,2.186,1.686,,
2026-03-21,2.19,1.69,,
2026-03-22,2.242,1.69,,
2026-03-23,2.242,1.69,,
2026-03-24,2.261,1.69,,
2026-03-25,2.264,1.698,,
2026-03-26,2.314,1.699,,
2026-03-27,2.297,1.7,,
2026-03-28,2.298,1.706,,
2026-03-29,2.258,1.706,,
2026-03-30,2.258,1.706,,
2026-03-31,2.255,1.711,,
2026-04-01,2.255,1.711,,
2026-04-02,2.251,1.715,,
2026-04-03,2.251,1.715,,
2026-04-04,2.251,1.715,,
2026-04-05,2.251,1.715,,
2026-04-06,2.251,1.715,,
2026-04-07,2.251,1.716,,
2026-04-08,2.256,1.731,,
2026-04-09,2.256,1.731,,
2026-04-10,2.256,1.736,,
2026-04-11,2.259,1.741,,
2026-04-12,2.259,1.741,,
2026-04-13,2.259,1.741,,
2026-04-14,2.262,1.742,,
2026-04-15,2.258,1.756,,
2026-04-16,2.311,1.756,,
2026-04-17,2.311,1.756,,
2026-04-18,2.268,1.765,,
2026-04-19,2.268,1.765,,
2026-04-20,2.268,1.765,,
2026-04-21,2.269,1.765,,
2026-04-22,2.215,1.775,,
2026-04-23,2.198,1.777,,
2026-04-24,2.105,1.779,,
2026-04-25,2.142,1.779,,
2026-04-26,2.142,1.779,,
2026-04-27,2.142,1.779,,
2026-04-28,2.172,1.782,,
2026-04-29,2.225,1.782,,
2026-04-30,2.228,1.787,,
2026-05-01,2.241,1.79,,
2026-05-02,2.246,1.79,,
2026-05-03,2.246,1.79,,
2026-05-04,2.246,1.79,,
2026-05-05,2.244,1.796,,
2026-05-06,2.256,1.796,,
2026-05-07,2.257,1.796,,
2026-05-08,2.257,1.8,,
2026-05-09,2.211,1.801,,
2026-05-10,2.21,1.804,,
2026-05-11,2.21,1.804,,
2026-05-12,2.18,1.804,,
2026-05-13,2.171,1.806,,
2026-05-14,2.186,1.807,,
2026-05-15,2.186,1.807,,
2026-05-16,2.19,1.811,,
2026-05-17,2.19,1.812,,
2026-05-18,2.19,1.812,,
2026-05-19,2.19,1.812,,
2026-05-20,2.19,1.812,,
2026-05-21,2.218,1.818,,
2026-05-22,2.19,1.812,,
2026-05-23,2.19,1.812,,
2026-05-24,2.19,1.812,,
2026-05-25,2.212,1.82,,
2026-05-26,2.19,1.812,,
2026-05-27,2.21,1.804,,
2026-05-28,2.158,1.83,,
2026-05-29,2.125,1.838,,
2026-05-30,2.103,1.838,,
2026-05-31,2.102,1.838,,
2026-06-01,2.102,1.838,,
2026-06-02,2.084,1.84,,
2026-06-03,2.089,1.842,,
2026-06-04,2.089,1.842,,
2026-06-05,2.12,1.839,,
2026-06-06,2.116,1.839,,
2026-06-07,2.116,1.839,,
2026-06-08,2.116,1.839,,
2026-06-09,2.116,1.839,,
2026-06-10,2.11,1.839,,
2026-06-11,2.104,1.84,,
2026-06-12,2.104,1.84,,
2026-06-13,2.104,1.84,,
2026-06-14,2.104,1.84,,
2026-06-15,2.104,1.84,,
