Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,2.074,1.915,1.996,0.977
2026-03-19,2.079,1.924,2.004,0.977
2026-03-20,2.092,1.936,2.013,0.979
2026-03-21,2.127,1.961,2.034,0.98
2026-03-22,2.141,1.969,2.041,0.98
2026-03-23,2.144,1.971,2.043,0.981
2026-03-24,2.18,1.982,2.058,0.981
2026-03-25,2.209,1.993,2.069,0.982
2026-03-26,2.218,1.986,2.07,0.982
2026-03-27,2.218,1.985,2.068,0.985
2026-03-28,2.213,1.984,2.066,0.986
2026-03-29,2.213,1.984,2.065,0.986
2026-03-30,2.215,1.984,2.066,0.986
2026-03-31,2.224,1.988,2.07,0.989
2026-04-01,2.237,1.995,2.076,0.992
