Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.802,1.483,,0.84
2026-03-17,1.804,1.483,,0.84
2026-03-18,1.804,1.483,,0.84
2026-03-19,1.805,1.474,,0.836
2026-03-20,1.838,1.52,,0.841
2026-03-21,1.867,1.519,,0.835
2026-03-22,1.868,1.52,,0.835
2026-03-23,1.872,1.523,,0.836
2026-03-24,1.921,1.547,,0.836
2026-03-25,1.998,1.574,,0.849
2026-03-26,1.994,1.563,,0.841
2026-03-27,2.04,1.585,,0.848
2026-03-28,2.021,1.585,,0.845
2026-03-29,2.023,1.585,,0.845
2026-03-30,2.028,1.59,,0.847
2026-03-31,2.032,1.6,,0.874
2026-04-01,2.057,1.621,,0.883
2026-04-02,2.073,1.632,,0.886
2026-04-03,2.067,1.629,,0.885
2026-04-04,2.063,1.626,,0.883
