Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,2.374,2.197,,
2026-03-17,2.374,2.197,,
2026-03-18,2.374,2.197,,
2026-03-19,2.414,2.18,,
2026-03-20,2.429,2.215,,
2026-03-21,2.453,2.23,,
2026-03-22,2.527,2.23,,
2026-03-23,2.527,2.232,,
2026-03-24,2.538,2.236,,
2026-03-25,2.532,2.2,,
2026-03-26,2.343,2.074,,
2026-03-27,2.323,2.05,,
2026-03-28,2.32,2.08,,
2026-03-29,2.319,2.08,,
2026-03-30,2.32,2.08,,
2026-03-31,2.305,2.08,,
2026-04-01,2.317,2.12,,
2026-04-02,2.342,2.1,,
2026-04-03,2.341,2.069,,
2026-04-04,2.358,2.129,,
2026-04-05,2.387,2.13,,
2026-04-06,2.387,2.133,,
2026-04-07,2.389,2.133,,
2026-04-08,2.396,2.133,,
2026-04-09,2.401,2.106,,
2026-04-10,2.361,2.028,,
2026-04-11,2.335,2.052,,
2026-04-12,2.334,2.054,,
2026-04-13,2.334,2.054,,
2026-04-14,2.33,2.051,,
2026-04-15,2.294,2.075,,
2026-04-16,2.141,1.956,,
2026-04-17,2.138,1.946,,
2026-04-18,2.123,1.956,,
2026-04-19,2.086,1.956,,
2026-04-20,2.086,1.956,,
2026-04-21,2.065,1.956,,
2026-04-22,2.052,1.937,,
2026-04-23,2.032,1.948,,
2026-04-24,2.054,1.985,,
2026-04-25,2.073,1.993,,
2026-04-26,2.117,1.993,,
2026-04-27,2.117,1.993,,
2026-04-28,2.112,1.988,,
2026-04-29,2.116,1.993,,
2026-04-30,2.129,1.999,,
2026-05-01,2.137,2.036,,
2026-05-02,2.14,2.034,,
2026-05-03,2.157,2.033,,
2026-05-04,2.157,2.034,,
2026-05-05,2.153,2.032,,
2026-05-06,2.154,2.023,,
2026-05-07,2.148,2.032,,
2026-05-08,2.133,1.991,,
2026-05-09,2.104,1.984,,
2026-05-10,2.06,1.985,,
2026-05-11,2.06,1.985,,
2026-05-12,2.056,1.984,,
2026-05-13,2.058,2.003,,
2026-05-14,2.073,2.023,,
2026-05-15,2.078,2.022,,
2026-05-16,2.069,2.015,,
2026-05-17,2.075,2.014,,
2026-05-18,2.075,2.014,,
2026-05-19,2.075,2.014,,
2026-05-20,2.075,2.014,,
2026-05-21,2.1,2.048,,
2026-05-22,2.075,2.014,,
2026-05-23,2.075,2.014,,
2026-05-24,2.075,2.014,,
2026-05-25,2.094,2.014,,
2026-05-26,2.075,2.014,,
2026-05-27,2.06,1.984,,
2026-05-28,2.071,1.959,,
2026-05-29,2.018,1.92,,
2026-05-30,1.999,1.93,,
2026-05-31,1.981,1.93,,
2026-06-01,1.981,1.93,,
2026-06-02,1.973,1.93,,
2026-06-03,1.983,1.933,,
2026-06-04,1.998,1.932,,
2026-06-05,2.009,1.941,,
2026-06-06,2.006,1.911,,
2026-06-07,2.01,1.911,,
2026-06-08,2.009,1.911,,
2026-06-09,2.008,1.91,,
2026-06-10,2.003,1.928,,
