Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.664,1.529,1.858,
2026-03-17,1.664,1.529,1.858,
2026-03-18,1.664,1.529,1.858,
2026-03-19,1.664,1.529,1.858,
2026-03-20,1.685,1.536,1.85,
2026-03-21,1.716,1.555,1.847,
2026-03-22,1.716,1.555,1.847,
2026-03-23,1.721,1.559,1.852,
2026-03-24,1.756,1.58,1.852,
2026-03-25,1.757,1.581,1.852,
2026-03-26,1.754,1.578,1.85,
2026-03-27,1.787,1.596,1.855,
2026-03-28,1.807,1.61,1.847,
2026-03-29,1.807,1.61,1.847,
2026-03-30,1.812,1.615,1.852,
2026-03-31,1.812,1.6,1.855,
2026-04-01,1.834,1.608,1.855,
2026-04-02,1.855,1.617,1.842,
2026-04-03,1.856,1.619,1.852,
2026-04-04,1.856,1.618,1.852,
2026-04-05,1.856,1.618,1.852,
2026-04-06,1.857,1.619,1.852,
2026-04-07,1.856,1.619,1.852,
2026-04-08,1.906,1.666,2.047,
2026-04-09,1.92,1.682,2.047,
2026-04-10,1.925,1.686,2.053,
2026-04-11,1.94,1.689,2.132,
2026-04-12,1.94,1.689,2.132,
2026-04-13,1.961,1.694,2.138,
2026-04-14,1.952,1.686,2.128,
2026-04-15,1.954,1.688,2.134,
2026-04-16,1.953,1.687,2.134,
2026-04-17,1.97,1.694,2.131,
2026-04-18,1.97,1.694,2.131,
2026-04-19,1.974,1.697,2.135,
2026-04-20,1.979,1.701,2.14,
2026-04-21,1.981,1.703,2.143,
2026-04-22,1.977,1.7,2.137,
2026-04-23,1.987,1.699,2.137,
2026-04-24,1.987,1.699,2.137,
2026-04-25,2.004,1.701,2.137,
2026-04-26,2.004,1.701,2.137,
2026-04-27,2.004,1.701,2.137,
2026-04-28,2.014,1.714,2.149,
2026-04-29,2.017,1.717,2.152,
2026-04-30,2.029,1.742,2.149,
2026-05-01,1.818,1.561,1.934,
2026-05-02,1.816,1.559,1.934,
2026-05-03,1.815,1.558,1.934,
2026-05-04,1.816,1.559,1.934,
2026-05-05,1.82,1.563,1.94,
2026-05-06,1.823,1.565,1.942,
2026-05-07,1.816,1.558,1.934,
2026-05-08,1.816,1.558,1.934,
2026-05-09,1.813,1.556,1.933,
2026-05-10,1.813,1.556,1.933,
2026-05-11,1.816,1.558,1.936,
2026-05-12,1.819,1.561,1.937,
2026-05-13,1.818,1.561,1.937,
2026-05-14,1.832,1.582,1.946,
2026-05-15,1.832,1.582,1.946,
2026-05-16,1.833,1.585,1.954,
2026-05-17,1.833,1.585,1.954,
2026-05-18,1.833,1.585,1.954,
2026-05-19,1.833,1.585,1.954,
2026-05-20,1.833,1.585,1.954,
2026-05-21,1.834,1.586,2.001,
2026-05-22,1.833,1.585,1.954,
2026-05-23,1.833,1.585,1.954,
2026-05-24,1.833,1.585,1.954,
2026-05-25,1.828,1.581,1.995,
2026-05-26,1.833,1.585,1.954,
2026-05-27,1.813,1.556,1.933,
2026-05-28,1.836,1.588,2.004,
2026-05-29,1.836,1.588,2.004,
2026-05-30,1.834,1.586,2.002,
2026-05-31,1.834,1.586,2.002,
2026-06-01,1.834,1.586,2.001,
2026-06-02,1.831,1.584,1.999,
2026-06-03,1.834,1.586,2.001,
2026-06-04,1.821,1.583,1.998,
2026-06-05,1.811,1.574,1.999,
2026-06-06,1.801,1.571,1.992,
2026-06-07,1.801,1.571,1.992,
2026-06-08,1.802,1.572,1.992,
2026-06-09,1.804,1.574,1.996,
2026-06-10,1.804,1.574,1.995,
2026-06-11,1.804,1.574,1.996,
2026-06-12,1.799,1.57,1.972,
2026-06-13,1.774,1.559,1.959,
2026-06-14,1.774,1.559,1.959,
2026-06-15,1.775,1.56,1.961,
2026-06-16,1.772,1.558,1.957,
2026-06-17,1.753,1.548,1.955,
2026-06-18,1.769,1.562,1.973,
2026-06-19,1.776,1.568,1.981,
2026-06-20,1.743,1.544,1.956,
2026-06-21,1.744,1.545,1.958,
2026-06-22,1.744,1.545,1.958,
2026-06-23,1.744,1.545,1.958,
2026-06-24,1.744,1.545,1.958,
2026-06-25,1.742,1.543,1.955,
2026-06-26,1.743,1.544,1.947,
2026-06-27,1.741,1.542,1.933,
