Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,2.104,1.864,1.94,0.703
2026-03-17,2.106,1.866,1.943,0.703
2026-03-18,2.106,1.866,1.943,0.703
2026-03-19,2.124,1.881,1.95,0.703
2026-03-20,1.992,1.749,1.877,0.681
2026-03-21,1.964,1.714,1.832,0.665
2026-03-22,1.981,1.72,1.832,0.663
2026-03-23,1.983,1.721,1.832,0.662
2026-03-24,2.014,1.735,1.853,0.661
2026-03-25,2.04,1.743,1.859,0.66
2026-03-26,2.044,1.744,1.851,0.658
2026-03-27,2.046,1.745,1.851,0.658
2026-03-28,2.054,1.746,1.866,0.658
2026-03-29,2.058,1.747,1.868,0.658
2026-03-30,2.06,1.748,1.868,0.658
2026-03-31,2.071,1.752,1.872,0.659
2026-04-01,2.08,1.755,1.89,0.662
2026-04-02,2.087,1.757,1.891,0.686
2026-04-03,2.1,1.761,1.9,0.741
2026-04-04,2.129,1.777,1.904,0.77
2026-04-05,2.142,1.782,1.911,0.777
2026-04-06,2.143,1.782,1.911,0.777
2026-04-07,2.144,1.782,1.911,0.778
2026-04-08,2.173,1.788,1.924,0.786
2026-04-09,2.189,1.792,1.924,0.792
2026-04-10,2.185,1.79,1.92,0.796
2026-04-11,2.174,1.787,1.918,0.797
2026-04-12,2.168,1.784,1.919,0.798
2026-04-13,2.166,1.783,1.918,0.798
2026-04-14,2.159,1.78,1.918,0.8
2026-04-15,2.151,1.778,1.916,0.801
2026-04-16,2.14,1.773,1.913,0.802
2026-04-17,2.13,1.77,1.911,0.802
2026-04-18,2.12,1.765,1.907,0.802
2026-04-19,2.112,1.761,1.905,0.802
2026-04-20,2.109,1.759,1.907,0.801
2026-04-21,2.093,1.749,1.907,0.801
2026-04-22,2.08,1.742,1.905,0.801
2026-04-23,2.073,1.738,1.897,0.802
2026-04-24,2.068,1.737,1.894,0.802
2026-04-25,2.066,1.739,1.891,0.801
2026-04-26,2.065,1.739,1.891,0.801
2026-04-27,2.064,1.739,1.891,0.801
2026-04-28,2.063,1.741,1.891,0.801
2026-04-29,2.061,1.744,1.892,0.801
2026-04-30,2.057,1.747,1.892,0.801
2026-05-01,2.056,1.755,1.921,0.801
2026-05-02,2.054,1.791,1.921,0.805
2026-05-03,2.053,1.89,1.983,0.819
2026-05-04,2.053,1.9,1.984,0.821
2026-05-05,2.049,1.928,2.027,0.827
2026-05-06,2.047,1.937,2.03,0.828
2026-05-07,2.042,1.941,2.032,0.827
2026-05-08,2.033,1.939,2.033,0.825
2026-05-09,2.02,1.935,2.032,0.823
2026-05-10,2.014,1.933,2.032,0.821
2026-05-11,2.012,1.933,2.031,0.821
2026-05-12,2.004,1.932,2.03,0.819
2026-05-13,1.997,1.933,2.031,0.818
2026-05-14,1.993,1.939,2.054,0.817
2026-05-15,1.988,1.943,2.056,0.816
2026-05-16,1.984,1.945,2.058,0.815
2026-05-17,1.983,1.946,2.059,0.815
2026-05-18,1.983,1.946,2.059,0.815
2026-05-19,1.983,1.946,2.059,0.815
2026-05-20,1.983,1.946,2.059,0.815
2026-05-21,1.982,1.97,2.086,0.812
2026-05-22,1.983,1.946,2.059,0.815
2026-05-23,1.983,1.946,2.059,0.815
2026-05-24,1.983,1.946,2.059,0.815
2026-05-25,2.058,1.972,2.088,0.809
2026-05-26,1.983,1.946,2.059,0.815
2026-05-27,2.016,1.934,2.032,0.822
2026-05-28,2.045,1.964,2.074,0.807
2026-05-29,2.032,1.957,2.074,0.806
2026-05-30,2.019,1.95,2.073,0.805
2026-05-31,2.013,1.946,2.071,0.805
2026-06-01,2.009,1.944,2.069,0.805
2026-06-02,2.002,1.939,2.067,0.804
2026-06-03,1.998,1.937,2.066,0.804
2026-06-04,1.992,1.933,2.066,0.802
2026-06-05,1.989,1.929,2.063,0.8
2026-06-06,1.985,1.925,2.063,0.799
2026-06-07,1.997,1.922,2.062,0.799
2026-06-08,2.017,1.92,2.058,0.798
2026-06-09,2.024,1.916,2.054,0.796
2026-06-10,2.022,1.912,2.053,0.794
2026-06-11,2.016,1.906,2.051,0.792
2026-06-12,2.011,1.902,2.049,0.79
2026-06-13,2.004,1.896,2.038,0.788
2026-06-14,2.002,1.894,2.038,0.788
2026-06-15,2,1.892,2.04,0.787
2026-06-16,1.988,1.882,2.032,0.785
2026-06-17,1.977,1.873,2.027,0.783
2026-06-18,1.967,1.865,2.02,0.781
2026-06-19,1.954,1.853,2.013,0.779
2026-06-20,1.942,1.844,2.007,0.778
2026-06-21,1.94,1.842,2.006,0.778
2026-06-22,1.939,1.841,2.006,0.778
2026-06-23,1.939,1.841,2.006,0.778
2026-06-24,1.939,1.841,2.006,0.778
2026-06-25,1.914,1.823,1.993,0.774
2026-06-26,1.907,1.818,1.99,0.772
2026-06-27,1.901,1.815,1.986,0.771
2026-06-28,1.899,1.814,1.979,0.771
2026-06-29,1.899,1.814,1.979,0.771
2026-06-30,1.899,1.814,1.979,0.771
2026-07-01,1.89,1.81,1.957,0.768
2026-07-02,1.888,1.808,1.951,0.767
2026-07-03,1.888,1.808,1.951,0.765
2026-07-04,1.903,1.822,1.954,0.766
2026-07-05,1.926,1.845,1.967,0.769
2026-07-06,1.932,1.85,1.988,0.769
2026-07-07,1.94,1.855,1.985,0.767
2026-07-08,1.945,1.858,1.985,0.764
2026-07-09,1.951,1.861,1.987,0.763
2026-07-10,1.977,1.874,1.993,0.761
2026-07-11,1.983,1.877,1.996,0.76
2026-07-12,1.983,1.877,1.996,0.76
2026-07-13,1.983,1.877,1.996,0.76
2026-07-14,1.999,1.886,2.005,0.758
2026-07-15,2.018,1.899,2.012,0.756
2026-07-16,2.042,1.913,2.018,0.756
2026-07-17,2.061,1.922,2.023,0.755
