Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.524,1.488,,1.1
2026-03-17,1.524,1.488,,1.1
2026-03-18,1.524,1.488,,1.1
2026-03-19,1.525,1.489,,1.108
2026-03-20,1.526,1.489,,1.115
2026-03-21,1.526,1.489,,1.115
2026-03-22,1.526,1.489,,1.115
2026-03-23,1.525,1.489,,1.115
2026-03-24,1.624,1.541,,1.217
2026-03-25,1.678,1.592,,1.235
2026-03-26,1.678,1.592,,1.242
2026-03-27,1.678,1.592,,1.242
2026-03-28,1.68,1.593,,1.243
2026-03-29,1.68,1.593,,1.243
2026-03-30,1.68,1.593,,1.244
2026-03-31,1.675,1.588,,1.175
2026-04-01,1.683,1.589,,1.166
2026-04-02,1.683,1.589,,1.159
2026-04-03,1.684,1.591,,1.159
2026-04-04,1.684,1.591,,1.159
2026-04-05,1.718,1.594,,1.161
2026-04-06,1.717,1.594,,1.161
2026-04-07,1.793,1.618,,1.16
2026-04-08,1.846,1.647,,1.158
2026-04-09,1.848,1.647,,1.157
2026-04-10,1.849,1.649,,1.151
2026-04-11,1.85,1.649,,1.151
2026-04-12,1.85,1.649,,1.151
2026-04-13,1.851,1.652,,1.151
2026-04-14,1.841,1.651,,1.112
