Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,2.03,1.892,2.005,
2026-03-17,2.035,1.892,2.004,
2026-03-18,2.035,1.892,2.004,
2026-03-19,2.03,1.887,2,
2026-03-20,2.035,1.886,1.98,
2026-03-21,2.034,1.886,1.978,
2026-03-22,2.034,1.886,1.978,
2026-03-23,2.041,1.892,1.985,
2026-03-24,2.095,1.917,1.985,
2026-03-25,2.09,1.913,1.98,
2026-03-26,2.094,1.92,1.975,
2026-03-27,2.091,1.917,1.972,
2026-03-28,2.079,1.907,1.961,
2026-03-29,2.088,1.92,1.998,
2026-03-30,2.085,1.918,1.995,
2026-03-31,2.091,1.928,2.001,
2026-04-01,2.075,1.913,1.986,
2026-04-02,2.091,1.92,1.992,
2026-04-03,2.087,1.917,1.989,
2026-04-04,2.096,1.922,1.989,
2026-04-05,2.109,1.925,1.993,
2026-04-06,2.104,1.921,1.988,
2026-04-07,2.106,1.923,1.991,
2026-04-08,2.152,1.917,1.985,
2026-04-09,2.144,1.92,1.987,
2026-04-10,2.168,1.92,1.991,
2026-04-11,2.165,1.918,1.989,
2026-04-12,2.155,1.918,1.989,
2026-04-13,2.155,1.919,1.99,
2026-04-14,2.165,1.927,1.998,
2026-04-15,2.165,1.925,1.998,
2026-04-16,2.156,1.922,1.995,
2026-04-17,2.157,1.922,1.996,
2026-04-18,2.157,1.921,1.995,
2026-04-19,2.162,1.926,2,
2026-04-20,2.162,1.926,2,
2026-04-21,2.164,1.925,2.006,
2026-04-22,2.147,1.926,2.007,
2026-04-23,2.143,1.922,2.003,
2026-04-24,2.131,1.919,2.003,
2026-04-25,2.131,1.919,2.003,
2026-04-26,2.121,1.911,1.994,
2026-04-27,2.126,1.916,1.999,
2026-04-28,2.126,1.909,1.999,
2026-04-29,2.122,1.905,1.99,
2026-04-30,2.124,1.907,1.992,
2026-05-01,2.14,1.922,2.007,
2026-05-02,2.14,1.917,1.972,
2026-05-03,2.142,1.919,1.974,
2026-05-04,2.142,1.919,1.974,
2026-05-05,2.14,1.917,2,
2026-05-06,2.143,1.92,2.002,
2026-05-07,2.144,1.921,2.003,
2026-05-08,2.144,1.921,2.003,
2026-05-09,2.142,1.924,2.001,
2026-05-10,2.141,1.924,2.001,
2026-05-11,2.144,1.926,2.003,
2026-05-12,2.141,1.923,2,
2026-05-13,2.141,1.919,2.002,
2026-05-14,2.141,1.919,2.001,
2026-05-15,2.144,1.922,2.004,
2026-05-16,2.144,1.934,2.024,
2026-05-17,2.144,1.934,2.024,
2026-05-18,2.144,1.934,2.024,
2026-05-19,2.144,1.934,2.024,
2026-05-20,2.144,1.934,2.024,
2026-05-21,2.14,1.936,2.023,
2026-05-22,2.144,1.934,2.024,
2026-05-23,2.144,1.934,2.024,
2026-05-24,2.144,1.934,2.024,
2026-05-25,2.15,1.948,2.033,
2026-05-26,2.144,1.934,2.024,
2026-05-27,2.142,1.924,2.002,
2026-05-28,2.139,1.941,2.028,
2026-05-29,2.144,1.945,2.033,
2026-05-30,2.15,1.951,2.038,
2026-05-31,2.15,1.951,2.038,
2026-06-01,2.15,1.948,2.034,
2026-06-02,2.134,1.937,2.024,
2026-06-03,2.131,1.932,2.022,
2026-06-04,2.126,1.927,2.017,
2026-06-05,2.131,1.932,2.022,
2026-06-06,2.128,1.929,2.019,
2026-06-07,2.128,1.93,2.02,
2026-06-08,2.128,1.93,2.019,
2026-06-09,2.117,1.923,2.012,
2026-06-10,2.114,1.92,2.009,
2026-06-11,2.112,1.918,2.007,
2026-06-12,2.118,1.923,2.013,
2026-06-13,2.112,1.916,2.003,
2026-06-14,2.113,1.916,2.003,
2026-06-15,2.115,1.919,2.006,
2026-06-16,2.116,1.917,2.007,
2026-06-17,2.113,1.934,2.008,
2026-06-18,2.116,1.936,2.01,
2026-06-19,2.111,1.931,2.005,
2026-06-20,2.095,1.922,1.996,
2026-06-21,2.097,1.924,1.997,
2026-06-22,2.097,1.924,1.997,
2026-06-23,2.097,1.924,1.997,
2026-06-24,2.097,1.924,1.997,
2026-06-25,2.09,1.93,2.004,
2026-06-26,2.083,1.933,2.007,
2026-06-27,2.081,1.931,2.005,
2026-06-28,2.081,1.931,2.005,
2026-06-29,2.081,1.931,2.005,
2026-06-30,2.081,1.931,2.005,
2026-07-01,2.063,1.93,2.003,
2026-07-02,2.068,1.935,2.008,
2026-07-03,2.072,1.939,2.013,
2026-07-04,2.072,1.938,2.012,
2026-07-05,2.077,1.943,2.017,
2026-07-06,2.071,1.937,2.011,
2026-07-07,2.067,1.934,2.007,
2026-07-08,2.064,1.931,2.004,
2026-07-09,2.063,1.93,2.003,
2026-07-10,2.068,1.934,2.004,
2026-07-11,2.068,1.934,2.004,
2026-07-12,2.068,1.934,2.004,
2026-07-13,2.068,1.934,2.004,
2026-07-14,2.056,1.923,1.993,
2026-07-15,2.067,1.939,2.011,
2026-07-16,2.071,1.942,2.015,
