Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.923,1.509,,
2026-03-17,1.923,1.509,,
2026-03-18,1.923,1.509,,
2026-03-19,1.953,1.527,,
2026-03-20,2.023,1.543,,
2026-03-21,2.082,1.552,,
2026-03-22,2.085,1.554,,
2026-03-23,2.086,1.555,,
2026-03-24,1.837,1.573,,
2026-03-25,2.071,1.577,,
2026-03-26,2.092,1.59,,
2026-03-27,2.047,1.593,,
2026-03-28,2.118,1.595,,
2026-03-29,2.118,1.595,,
2026-03-30,2.118,1.596,,
2026-03-31,2.134,1.601,,
2026-04-01,2.145,1.605,,
2026-04-02,2.125,1.614,,
2026-04-03,2.126,1.617,,
2026-04-04,2.234,1.619,,
2026-04-05,2.234,1.619,,
2026-04-06,2.234,1.62,,
2026-04-07,2.233,1.622,,
2026-04-08,2.236,1.623,,
2026-04-09,2.209,1.643,,
2026-04-10,2.122,1.649,,
2026-04-11,2.163,1.65,,
2026-04-12,2.162,1.65,,
2026-04-13,2.162,1.649,,
2026-04-14,2.128,1.653,,
2026-04-15,2.146,1.655,,
2026-04-16,2.079,1.654,,
2026-04-17,2.045,1.652,,
2026-04-18,2.036,1.653,,
2026-04-19,2.036,1.652,,
2026-04-20,2.036,1.652,,
2026-04-21,1.979,1.652,,
2026-04-22,1.959,1.655,,
