Datum,Diesel (B7),E10,E5,Lpg
2026-03-17,1.853,1.701,1.776,0.882
2026-03-18,1.853,1.701,1.776,0.882
2026-03-19,1.853,1.701,1.826,0.902
2026-03-20,2.001,1.727,1.826,0.902
2026-03-21,2.001,1.727,1.869,0.902
2026-03-22,2.001,1.727,1.869,0.902
2026-03-23,2.001,1.727,1.869,0.902
2026-03-24,2.072,1.727,1.869,0.902
2026-03-25,2.072,1.759,1.869,0.93
2026-03-26,1.98,1.759,1.81,0.93
2026-03-27,1.864,1.7,1.813,0.93
2026-03-28,2.002,1.7,1.813,0.93
2026-03-29,2.002,1.7,1.813,0.93
2026-03-30,2.002,1.7,1.813,0.93
2026-03-31,2.002,1.758,1.856,0.93
2026-04-01,2.056,1.758,1.856,0.93
2026-04-02,2.056,1.758,1.856,0.93
2026-04-03,2.021,1.758,1.856,0.882
2026-04-04,2.185,1.758,1.856,0.882
2026-04-05,2.185,1.758,1.856,0.876
2026-04-06,2.185,1.758,1.856,0.876
2026-04-07,2.184,1.758,1.856,0.876
2026-04-08,2.184,1.758,1.856,0.876
2026-04-09,2.184,1.776,1.884,0.876
2026-04-10,1.882,1.776,1.886,0.876
2026-04-11,2.006,1.721,1.827,0.876
2026-04-12,2.006,1.721,1.827,0.876
2026-04-13,2.006,1.721,1.827,0.876
2026-04-14,2.006,1.721,1.827,0.876
2026-04-15,1.934,1.721,1.827,0.872
2026-04-16,1.934,1.721,1.827,0.872
2026-04-17,1.872,1.721,1.827,0.826
2026-04-18,1.872,1.721,1.827,0.826
2026-04-19,1.872,1.721,1.827,0.826
2026-04-20,1.872,1.721,1.827,0.826
2026-04-21,1.754,1.721,1.827,0.826
2026-04-22,1.754,1.721,1.827,0.812
2026-04-23,1.794,1.721,1.827,0.812
2026-04-24,1.794,1.721,1.827,0.812
2026-04-25,1.871,1.759,1.854,0.812
2026-04-26,1.871,1.759,1.854,0.812
