Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,0.773,0.877,0.906,
2026-03-19,0.773,0.877,0.906,
2026-03-20,0.762,0.865,0.893,
2026-03-21,0.767,0.87,0.898,
2026-03-22,0.768,0.871,0.9,
2026-03-23,0.77,0.873,0.902,
2026-03-24,0.77,0.873,0.902,
2026-03-25,0.763,0.866,0.894,
2026-03-26,0.763,0.866,0.894,
2026-03-27,0.764,0.867,0.896,
2026-03-28,0.763,0.865,0.894,
2026-03-29,0.765,0.868,0.897,
2026-03-30,0.769,0.872,0.901,
2026-03-31,0.764,0.867,0.896,
2026-04-01,0.755,0.857,0.885,
2026-04-02,0.758,0.86,0.888,
2026-04-03,0.762,0.864,0.893,
2026-04-04,0.765,0.868,0.896,
