Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,2.227,1.871,,
2026-03-17,2.227,1.871,,
2026-03-18,2.227,1.871,,
2026-03-19,2.242,1.871,,
2026-03-20,2.34,1.871,,
2026-03-21,2.435,1.871,,
2026-03-22,2.435,1.871,,
2026-03-23,2.435,1.871,,
2026-03-24,2.463,1.871,,
2026-03-25,2.367,1.871,,
2026-03-26,2.362,1.871,,
2026-03-27,2.267,1.871,,
2026-03-28,2.388,1.871,,
2026-03-29,2.388,1.871,,
2026-03-30,2.388,1.871,,
2026-03-31,2.415,1.871,,
2026-04-01,2.435,1.871,,
2026-04-02,2.399,1.871,,
2026-04-03,2.379,1.871,,
2026-04-04,2.569,1.871,,
2026-04-05,2.569,1.871,,
2026-04-06,2.569,1.871,,
2026-04-07,2.569,1.871,,
2026-04-08,2.569,1.871,,
2026-04-09,2.517,1.871,,
2026-04-10,2.272,1.871,,
2026-04-11,2.385,1.871,,
2026-04-12,2.385,1.871,,
2026-04-13,2.385,1.871,,
2026-04-14,2.302,1.871,,
2026-04-15,2.357,1.871,,
2026-04-16,2.235,1.871,,
2026-04-17,2.254,1.871,,
2026-04-18,2.257,1.871,,
2026-04-19,2.257,1.871,,
2026-04-20,2.257,1.871,,
2026-04-21,2.116,1.871,,
2026-04-22,2.151,1.871,,
2026-04-23,2.182,1.871,,
2026-04-24,2.239,1.871,,
2026-04-25,2.245,1.871,,
2026-04-26,2.245,1.871,,
2026-04-27,2.245,1.871,,
2026-04-28,2.275,1.871,,
2026-04-29,2.301,1.871,,
2026-04-30,2.255,1.871,,
2026-05-01,2.317,1.871,,
2026-05-02,2.309,1.871,,
2026-05-03,2.309,1.871,,
2026-05-04,2.309,1.871,,
2026-05-05,2.293,1.871,,
2026-05-06,2.295,1.871,,
2026-05-07,2.283,1.871,,
2026-05-08,2.188,1.871,,
2026-05-09,2.146,1.871,,
2026-05-10,2.146,1.871,,
2026-05-11,2.146,1.871,,
2026-05-12,2.185,1.871,,
2026-05-13,2.173,1.871,,
2026-05-14,2.219,1.871,,
2026-05-15,2.207,1.871,,
2026-05-16,2.172,1.871,,
2026-05-17,2.172,1.871,,
2026-05-18,2.172,1.871,,
2026-05-19,2.172,1.871,,
2026-05-20,2.172,1.871,,
2026-05-21,2.227,1.871,,
2026-05-22,2.172,1.871,,
2026-05-23,2.172,1.871,,
2026-05-24,2.172,1.871,,
2026-05-25,2.227,1.871,,
2026-05-26,2.172,1.871,,
2026-05-27,2.146,1.871,,
2026-05-28,2.293,2.216,,
2026-05-29,2.281,2.216,,
2026-05-30,2.279,2.216,,
2026-05-31,2.279,2.216,,
2026-06-01,2.279,2.216,,
2026-06-02,2.271,2.216,,
2026-06-03,2.295,2.216,,
2026-06-04,2.289,2.216,,
2026-06-05,2.305,2.216,,
2026-06-06,2.292,2.216,,
2026-06-07,2.292,2.216,,
2026-06-08,2.292,2.216,,
2026-06-09,2.285,2.216,,
2026-06-10,2.292,2.216,,
2026-06-11,2.278,2.216,,
2026-06-12,2.283,2.216,,
2026-06-13,2.283,2.216,,
2026-06-14,2.283,2.216,,
2026-06-15,2.081,2.216,,
2026-06-16,2.081,2.216,,
2026-06-17,2.022,2.216,,
2026-06-18,2.022,2.216,,
2026-06-19,2.153,2.216,,
2026-06-20,2.13,2.155,,
2026-06-21,2.13,2.155,,
