Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.464,1.4,,0.72
2026-03-17,1.464,1.4,,0.72
2026-03-18,1.464,1.4,,0.72
2026-03-19,1.464,1.4,,0.72
2026-03-20,1.464,1.4,,0.72
2026-03-21,1.464,1.4,,0.72
2026-03-22,1.464,1.4,,0.72
2026-03-23,1.464,1.4,,0.72
2026-03-24,1.464,1.4,,0.72
2026-03-25,1.524,1.4,,0.72
2026-03-26,1.524,1.4,,0.72
2026-03-27,1.524,1.4,,0.72
2026-03-28,1.524,1.4,,0.72
2026-03-29,1.524,1.4,,0.72
2026-03-30,1.524,1.4,,0.72
2026-03-31,1.619,1.4,,0.72
2026-04-01,1.619,1.4,,0.72
2026-04-02,1.619,1.4,,0.72
2026-04-03,1.619,1.4,,0.72
2026-04-04,1.619,1.4,,0.814
2026-04-05,1.619,1.4,,0.785
2026-04-06,1.619,1.4,,0.785
2026-04-07,1.704,1.4,,0.785
2026-04-08,1.704,1.4,,0.785
2026-04-09,1.704,1.4,,0.785
2026-04-10,1.704,1.4,,0.785
2026-04-11,1.704,1.4,,0.785
2026-04-12,1.704,1.4,,0.785
2026-04-13,1.704,1.4,,0.785
2026-04-14,1.704,1.4,,0.785
2026-04-15,1.644,1.4,,0.864
2026-04-16,1.644,1.4,,0.864
2026-04-17,1.644,1.4,,0.864
2026-04-18,1.644,1.4,,0.864
2026-04-19,1.644,1.4,,0.864
2026-04-20,1.644,1.4,,0.864
2026-04-21,1.627,1.4,,0.86
2026-04-22,1.627,1.4,,0.86
2026-04-23,1.627,1.4,,0.86
2026-04-24,1.627,1.4,,0.86
2026-04-25,1.627,1.4,,0.86
2026-04-26,1.627,1.4,,0.86
