Datum,Diesel (B7),E10,E5,Lpg
2026-03-17,2.27,2.266,2.527,0.94
2026-03-18,2.27,2.266,2.527,0.94
2026-03-19,2.319,2.279,2.541,0.95
2026-03-20,2.392,2.306,2.57,0.977
2026-03-21,2.449,2.321,2.581,0.997
2026-03-22,2.458,2.324,2.588,1.005
2026-03-23,2.46,2.325,2.588,1.005
2026-03-24,2.45,2.317,2.581,1
2026-03-25,2.445,2.313,2.579,1.005
2026-03-26,2.428,2.307,2.574,1.007
2026-03-27,2.421,2.307,2.577,1.012
2026-03-28,2.441,2.308,2.578,1.015
2026-03-29,2.449,2.311,2.582,1.019
2026-03-30,2.45,2.311,2.583,1.019
2026-03-31,2.474,2.328,2.598,1.022
2026-04-01,2.481,2.332,2.605,1.024
2026-04-02,2.464,2.318,2.592,1.025
2026-04-03,2.533,2.334,2.604,1.034
2026-04-04,2.57,2.339,2.609,1.043
2026-04-05,2.574,2.342,2.611,1.044
2026-04-06,2.576,2.343,2.612,1.045
2026-04-07,2.577,2.342,2.611,1.044
2026-04-08,2.584,2.344,2.611,1.046
2026-04-09,2.531,2.326,2.598,1.049
2026-04-10,2.509,2.316,2.583,1.052
2026-04-11,2.474,2.301,2.571,1.051
2026-04-12,2.464,2.298,2.567,1.052
2026-04-13,2.461,2.297,2.567,1.052
2026-04-14,2.457,2.299,2.569,1.054
2026-04-15,2.419,2.296,2.57,1.054
2026-04-16,2.366,2.29,2.565,1.054
2026-04-17,2.341,2.286,2.561,1.053
2026-04-18,2.306,2.266,2.546,1.051
2026-04-19,2.294,2.261,2.539,1.052
2026-04-20,2.292,2.26,2.536,1.051
2026-04-21,2.272,2.257,2.534,1.05
2026-04-22,2.248,2.252,2.529,1.046
2026-04-23,2.252,2.253,2.529,1.045
2026-04-24,2.27,2.275,2.545,1.043
2026-04-25,2.29,2.292,2.563,1.042
2026-04-26,2.298,2.3,2.57,1.044
2026-04-27,2.299,2.302,2.57,1.043
2026-04-28,2.303,2.307,2.574,1.043
2026-04-29,2.314,2.32,2.589,1.042
2026-04-30,2.333,2.341,2.61,1.041
2026-05-01,2.344,2.35,2.618,1.043
2026-05-02,2.349,2.359,2.629,1.043
2026-05-03,2.352,2.364,2.633,1.045
2026-05-04,2.352,2.365,2.631,1.045
2026-05-05,2.352,2.374,2.639,1.046
2026-05-06,2.352,2.381,2.647,1.044
2026-05-07,2.331,2.371,2.638,1.037
2026-05-08,2.301,2.363,2.63,1.036
2026-05-09,2.283,2.358,2.628,1.036
2026-05-10,2.28,2.359,2.628,1.036
2026-05-11,2.279,2.359,2.628,1.035
2026-05-12,2.274,2.358,2.627,1.035
2026-05-13,2.273,2.36,2.628,1.034
2026-05-14,2.27,2.363,2.628,1.033
2026-05-15,2.273,2.364,2.63,1.033
2026-05-16,2.271,2.364,2.629,1.031
2026-05-17,2.27,2.364,2.628,1.031
2026-05-18,2.27,2.364,2.628,1.031
2026-05-19,2.27,2.364,2.628,1.031
2026-05-20,2.27,2.364,2.628,1.031
2026-05-21,2.271,2.383,2.639,1.03
2026-05-22,2.27,2.364,2.628,1.031
2026-05-23,2.27,2.364,2.628,1.031
2026-05-24,2.27,2.364,2.628,1.031
2026-05-25,2.255,2.367,2.631,1.022
2026-05-26,2.27,2.364,2.628,1.031
2026-05-27,2.278,2.356,2.628,1.035
2026-05-28,2.19,2.319,2.587,1.01
2026-05-29,2.172,2.303,2.573,1.011
2026-05-30,2.154,2.284,2.555,1.01
2026-05-31,2.152,2.28,2.55,1.01
2026-06-01,2.151,2.28,2.549,1.01
2026-06-02,2.149,2.278,2.549,1.01
2026-06-03,2.137,2.258,2.531,1.005
2026-06-04,2.152,2.256,2.525,1.004
2026-06-05,2.148,2.247,2.517,1.003
2026-06-06,2.138,2.237,2.509,1
2026-06-07,2.137,2.236,2.507,1.001
2026-06-08,2.138,2.235,2.504,1
2026-06-09,2.137,2.238,2.507,0.998
2026-06-10,2.128,2.232,2.501,0.998
2026-06-11,2.122,2.231,2.499,0.999
2026-06-12,2.106,2.224,2.492,1
2026-06-13,2.093,2.216,2.484,0.996
2026-06-14,2.092,2.217,2.482,0.998
2026-06-15,2.091,2.217,2.481,0.999
2026-06-16,2.073,2.208,2.474,0.996
2026-06-17,2.044,2.196,2.464,0.996
2026-06-18,2.024,2.185,2.456,0.995
2026-06-19,2.012,2.174,2.446,0.995
2026-06-20,2.017,2.181,2.451,0.992
2026-06-21,2.02,2.184,2.456,0.994
2026-06-22,2.02,2.184,2.456,0.993
2026-06-23,2.02,2.184,2.456,0.993
2026-06-24,2.02,2.184,2.456,0.993
2026-06-25,2.009,2.182,2.452,0.986
2026-06-26,2.007,2.18,2.451,0.985
2026-06-27,2.006,2.178,2.449,0.984
2026-06-28,2.007,2.18,2.45,0.986
2026-06-29,2.007,2.18,2.449,0.986
2026-06-30,2.007,2.18,2.449,0.986
2026-07-01,2.027,2.196,2.462,0.978
2026-07-02,2.044,2.21,2.477,0.976
2026-07-03,2.053,2.217,2.486,0.978
2026-07-04,2.054,2.219,2.49,0.977
2026-07-05,2.057,2.222,2.494,0.976
2026-07-06,2.058,2.223,2.495,0.974
2026-07-07,2.06,2.227,2.502,0.973
2026-07-08,2.064,2.234,2.51,0.969
2026-07-09,2.084,2.253,2.528,0.965
2026-07-10,2.121,2.27,2.548,0.965
