Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,2.291,2.164,2.28,
2026-03-17,2.283,2.152,2.276,
2026-03-18,2.283,2.152,2.276,
2026-03-19,2.295,2.1,2.285,
2026-03-20,2.436,2.246,2.319,
2026-03-21,2.388,2.166,2.312,
2026-03-22,2.367,2.122,2.308,
2026-03-23,2.361,2.09,2.303,
2026-03-24,2.478,2.266,2.333,
2026-03-25,2.398,2.16,2.314,
2026-03-26,2.38,2.108,2.313,
2026-03-27,2.362,2.059,2.303,
2026-03-28,2.445,2.197,2.315,
2026-03-29,2.409,2.136,2.33,
2026-03-30,2.386,2.085,2.316,
2026-03-31,2.402,2.058,2.312,
2026-04-01,2.382,2.14,2.287,
2026-04-02,2.248,1.83,2.154,
2026-04-03,2.201,1.759,2.107,
2026-04-04,2.176,1.722,2.066,
2026-04-05,2.199,1.743,2.037,
2026-04-06,2.167,1.679,2.011,
2026-04-07,2.168,1.657,1.985,
2026-04-08,2.315,1.866,2.015,
2026-04-09,2.283,1.804,2.031,
