Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.508,1.372,,0.857
2026-03-17,1.508,1.372,,0.857
2026-03-18,1.508,1.372,,0.857
2026-03-19,1.531,1.383,,0.861
2026-03-20,1.545,1.389,,0.864
2026-03-21,1.579,1.395,,0.874
2026-03-22,1.608,1.399,,0.881
2026-03-23,1.613,1.405,,0.884
2026-03-24,1.623,1.405,,0.89
2026-03-25,1.613,1.396,,0.886
2026-03-26,1.612,1.395,,0.887
2026-03-27,1.623,1.405,,0.893
2026-03-28,1.639,1.403,,0.918
2026-03-29,1.644,1.408,,0.924
2026-03-30,1.653,1.415,,0.929
2026-03-31,1.65,1.412,,0.927
2026-04-01,1.634,1.397,,0.917
2026-04-02,1.665,1.401,,0.932
2026-04-03,1.685,1.404,,0.948
2026-04-04,1.693,1.411,,0.953
2026-04-05,1.696,1.411,,0.954
2026-04-06,1.741,1.436,,0.971
2026-04-07,1.738,1.433,,0.971
2026-04-08,1.744,1.424,,0.965
2026-04-09,1.739,1.432,,0.97
2026-04-10,1.731,1.425,,0.966
2026-04-11,1.724,1.419,,0.962
2026-04-12,1.725,1.421,,0.962
2026-04-13,1.743,1.427,,0.967
2026-04-14,1.733,1.416,,0.959
2026-04-15,1.742,1.408,,0.959
2026-04-16,1.739,1.406,,0.958
2026-04-17,1.737,1.405,,0.957
2026-04-18,1.711,1.395,,0.951
2026-04-19,1.696,1.383,,0.943
2026-04-20,1.697,1.384,,0.943
2026-04-21,1.714,1.38,,0.941
2026-04-22,1.706,1.386,,0.945
2026-04-23,1.72,1.398,,0.952
2026-04-24,1.722,1.399,,0.953
2026-04-25,1.722,1.4,,0.953
2026-04-26,1.714,1.393,,0.949
2026-04-27,1.717,1.395,,0.95
2026-04-28,1.706,1.386,,0.944
2026-04-29,1.712,1.391,,0.947
2026-04-30,1.715,1.394,,0.949
2026-05-01,1.714,1.393,,0.943
2026-05-02,1.72,1.398,,0.943
2026-05-03,1.725,1.402,,0.943
2026-05-04,1.733,1.41,,0.943
2026-05-05,1.733,1.41,,0.943
2026-05-06,1.738,1.415,,0.944
2026-05-07,1.743,1.419,,0.944
2026-05-08,1.725,1.419,,0.944
2026-05-09,1.707,1.412,,0.938
2026-05-10,1.71,1.424,,0.941
2026-05-11,1.714,1.427,,0.943
2026-05-12,1.707,1.421,,0.939
2026-05-13,1.713,1.426,,0.942
2026-05-14,1.715,1.428,,0.943
2026-05-15,1.723,1.434,,0.942
2026-05-16,1.721,1.432,,0.93
2026-05-17,1.721,1.432,,0.93
2026-05-18,1.721,1.432,,0.93
2026-05-19,1.721,1.432,,0.93
2026-05-20,1.721,1.432,,0.93
2026-05-21,1.716,1.46,,0.925
2026-05-22,1.721,1.432,,0.93
2026-05-23,1.721,1.432,,0.93
2026-05-24,1.721,1.432,,0.93
2026-05-25,1.721,1.47,,0.922
2026-05-26,1.721,1.432,,0.93
2026-05-27,1.706,1.412,,0.938
2026-05-28,1.716,1.499,,0.909
2026-05-29,1.704,1.496,,0.907
2026-05-30,1.691,1.494,,0.905
2026-05-31,1.691,1.494,,0.905
2026-06-01,1.693,1.496,,0.906
2026-06-02,1.694,1.496,,0.906
2026-06-03,1.695,1.498,,0.907
2026-06-04,1.696,1.499,,0.907
2026-06-05,1.695,1.498,,0.897
2026-06-06,1.69,1.501,,0.901
2026-06-07,1.689,1.499,,0.9
2026-06-08,1.689,1.501,,0.9
2026-06-09,1.679,1.493,,0.895
2026-06-10,1.64,1.482,,0.888
2026-06-11,1.623,1.476,,0.869
2026-06-12,1.623,1.477,,0.867
2026-06-13,1.627,1.48,,0.869
2026-06-14,1.627,1.48,,0.869
