Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.82,1.551,1.508,0.63
2026-03-17,1.823,1.554,1.508,0.63
2026-03-18,1.823,1.554,1.508,0.63
2026-03-19,1.835,1.567,1.504,0.628
2026-03-20,1.849,1.581,1.507,0.629
2026-03-21,1.881,1.597,1.501,0.627
2026-03-22,1.898,1.601,1.501,0.627
2026-03-23,1.902,1.607,1.505,0.629
2026-03-24,1.983,1.628,1.505,0.629
2026-03-25,2.015,1.648,1.51,0.633
2026-03-26,2.024,1.654,1.505,
2026-03-27,2.009,1.661,1.504,
2026-03-28,2.019,1.658,1.496,
2026-03-29,2.023,1.66,1.496,
2026-03-30,2.024,1.664,1.501,
2026-03-31,1.998,1.662,1.499,
2026-04-01,1.903,1.585,1.499,
2026-04-02,1.89,1.551,1.501,
2026-04-03,1.789,1.512,1.503,
2026-04-04,1.802,1.504,1.503,
2026-04-05,1.81,1.503,1.503,
2026-04-06,1.811,1.503,1.517,
2026-04-07,1.818,1.504,1.521,
2026-04-08,1.821,1.482,1.522,
2026-04-09,1.813,1.477,1.525,
2026-04-10,1.798,1.478,1.528,
2026-04-11,1.791,1.471,1.525,
2026-04-12,1.791,1.47,1.526,
