Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.983,1.898,2.001,0.96
2026-03-17,1.984,1.898,2.003,0.96
2026-03-18,1.984,1.898,2.003,0.96
2026-03-19,1.986,1.9,2.004,0.962
2026-03-20,1.986,1.899,2.005,0.962
2026-03-21,1.983,1.897,2.005,0.961
2026-03-22,1.984,1.897,2.005,0.961
2026-03-23,2.049,1.937,2.011,0.969
2026-03-24,2.11,1.967,2.065,0.972
2026-03-25,2.122,1.973,2.077,0.974
2026-03-26,2.124,1.974,2.078,0.974
2026-03-27,2.123,1.973,2.079,0.974
2026-03-28,2.12,1.97,2.079,0.973
2026-03-29,2.12,1.971,2.079,0.973
2026-03-30,2.129,1.967,2.078,1.032
2026-03-31,2.135,1.963,2.071,1.042
2026-04-01,2.138,1.962,2.071,1.065
2026-04-02,2.138,1.962,2.071,1.062
2026-04-03,2.138,1.962,2.071,1.063
2026-04-04,2.135,1.959,2.071,1.064
2026-04-05,2.135,1.959,2.071,1.064
2026-04-06,2.167,1.974,2.073,1.065
2026-04-07,2.195,1.984,2.091,1.074
2026-04-08,2.204,1.987,2.097,1.088
2026-04-09,2.206,1.987,2.098,1.09
2026-04-10,2.206,1.987,2.098,1.091
2026-04-11,2.203,1.984,2.098,1.091
2026-04-12,2.203,1.984,2.098,1.091
2026-04-13,2.174,1.969,2.096,1.092
2026-04-14,2.147,1.956,2.074,1.096
2026-04-15,2.144,1.955,2.069,1.097
2026-04-16,2.142,1.954,2.067,1.097
2026-04-17,2.142,1.953,2.067,1.097
2026-04-18,2.139,1.951,2.067,1.097
2026-04-19,2.139,1.951,2.066,1.097
2026-04-20,2.09,1.947,2.065,1.095
2026-04-21,2.044,1.942,2.057,1.095
2026-04-22,2.037,1.941,2.056,1.095
2026-04-23,2.035,1.941,2.056,1.095
2026-04-24,2.034,1.94,2.056,1.095
2026-04-25,2.03,1.937,2.055,1.095
2026-04-26,2.03,1.937,2.055,1.095
2026-04-27,2.028,1.956,2.058,1.095
2026-04-28,2.022,1.969,2.077,1.096
2026-04-29,2.02,1.971,2.081,1.095
2026-04-30,2.02,1.971,2.082,1.094
2026-05-01,2.019,1.97,2.082,1.077
2026-05-02,2.015,1.967,2.082,1.076
2026-05-03,2.015,1.968,2.081,1.076
2026-05-04,2.056,2.002,2.087,1.069
2026-05-05,2.089,2.029,2.13,1.062
2026-05-06,2.093,2.034,2.142,1.057
2026-05-07,2.094,2.035,2.141,1.055
2026-05-08,2.094,2.034,2.142,1.054
2026-05-09,2.09,2.031,2.142,1.053
2026-05-10,2.091,2.032,2.141,1.052
2026-05-11,2.057,2.026,2.139,1.047
2026-05-12,2.032,2.022,2.13,1.044
2026-05-13,2.026,2.02,2.127,1.043
2026-05-14,2.025,2.02,2.127,1.043
2026-05-15,2.023,2.019,2.127,1.042
2026-05-16,2.02,2.016,2.126,1.041
2026-05-17,2.019,2.016,2.126,1.041
2026-05-18,2.019,2.016,2.126,1.041
2026-05-19,2.019,2.016,2.126,1.041
2026-05-20,2.019,2.016,2.126,1.041
2026-05-21,2.016,2.053,2.157,1.038
2026-05-22,2.019,2.016,2.126,1.041
2026-05-23,2.019,2.016,2.126,1.041
2026-05-24,2.019,2.016,2.126,1.041
2026-05-25,2.017,2.059,2.159,1.037
2026-05-26,2.019,2.016,2.126,1.041
2026-05-27,2.09,2.031,2.141,1.053
2026-05-28,2.019,2.063,2.167,1.037
2026-05-29,2.018,2.063,2.168,1.037
2026-05-30,2.014,2.06,2.167,1.036
2026-05-31,2.014,2.06,2.167,1.036
2026-06-01,1.962,2.005,2.148,1.027
2026-06-02,1.936,1.98,2.095,1.021
2026-06-03,1.929,1.974,2.085,1.018
2026-06-04,1.928,1.973,2.083,1.017
2026-06-05,1.926,1.972,2.082,1.002
2026-06-06,1.922,1.968,2.081,1.001
2026-06-07,1.923,1.968,2.08,1.002
2026-06-08,1.939,1.965,2.078,1.002
2026-06-09,1.947,1.961,2.072,1
2026-06-10,1.947,1.96,2.07,0.999
2026-06-11,1.946,1.958,2.069,0.999
2026-06-12,1.945,1.957,2.069,0.998
2026-06-13,1.942,1.954,2.069,0.997
2026-06-14,1.942,1.954,2.068,0.997
2026-06-15,1.926,1.96,2.069,0.993
2026-06-16,1.92,1.961,2.071,0.993
2026-06-17,1.918,1.96,2.071,0.992
2026-06-18,1.918,1.96,2.071,0.992
2026-06-19,1.917,1.959,2.071,0.992
2026-06-20,1.914,1.956,2.071,0.991
2026-06-21,1.914,1.957,2.071,0.991
2026-06-22,1.913,1.954,2.07,0.99
2026-06-23,1.913,1.954,2.07,0.99
2026-06-24,1.913,1.954,2.07,0.99
2026-06-25,1.834,1.921,2.031,0.988
2026-06-26,1.833,1.92,2.031,0.987
2026-06-27,1.829,1.917,2.031,0.987
2026-06-28,1.83,1.917,2.031,0.987
2026-06-29,1.83,1.917,2.031,0.987
2026-06-30,1.83,1.917,2.031,0.987
2026-07-01,1.832,1.921,2.031,0.983
2026-07-02,1.832,1.92,2.031,0.982
2026-07-03,1.832,1.92,2.031,0.982
2026-07-04,1.828,1.917,2.03,0.978
2026-07-05,1.828,1.917,2.031,0.978
