Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.785,1.67,1.813,0.779
2026-03-17,1.788,1.671,1.817,0.779
2026-03-18,1.788,1.671,1.817,0.779
2026-03-19,1.812,1.685,1.83,0.781
2026-03-20,1.844,1.699,1.845,0.782
2026-03-21,1.876,1.717,1.866,0.78
2026-03-22,1.892,1.725,1.878,0.78
2026-03-23,1.906,1.737,1.894,0.782
2026-03-24,1.924,1.748,1.9,0.789
2026-03-25,1.946,1.759,1.907,0.789
2026-03-26,1.963,1.77,1.922,0.79
2026-03-27,1.973,1.777,1.935,0.789
2026-03-28,1.979,1.779,1.936,0.792
2026-03-29,1.987,1.783,1.939,0.793
2026-03-30,1.996,1.791,1.946,0.795
2026-03-31,2.004,1.794,1.949,0.795
2026-04-01,2.014,1.8,1.952,0.795
2026-04-02,2.008,1.807,1.949,0.795
2026-04-03,2,1.804,1.949,0.795
2026-04-04,2.009,1.799,1.942,0.795
2026-04-05,2.024,1.803,1.945,0.797
2026-04-06,2.026,1.8,1.943,0.795
2026-04-07,2.016,1.8,1.943,0.795
2026-04-08,1.991,1.804,1.945,0.798
2026-04-09,1.987,1.802,1.945,0.798
2026-04-10,1.969,1.798,1.943,0.798
2026-04-11,1.947,1.789,1.943,0.798
2026-04-12,1.943,1.786,1.942,0.798
2026-04-13,1.943,1.785,1.943,0.798
2026-04-14,1.94,1.782,1.944,0.799
2026-04-15,1.931,1.773,1.943,0.798
2026-04-16,1.901,1.739,1.943,0.798
2026-04-17,1.879,1.726,1.941,0.797
2026-04-18,1.832,1.696,1.842,0.797
2026-04-19,1.805,1.682,1.739,0.797
2026-04-20,1.798,1.676,1.731,0.797
2026-04-21,1.776,1.662,1.714,0.809
2026-04-22,1.737,1.641,1.698,0.81
2026-04-23,1.732,1.64,1.703,0.811
2026-04-24,1.755,1.665,1.711,0.811
2026-04-25,1.767,1.677,1.711,0.816
2026-04-26,1.776,1.688,1.712,0.816
2026-04-27,1.782,1.694,1.713,0.816
2026-04-28,1.797,1.698,1.714,0.816
2026-04-29,1.835,1.711,1.714,0.815
2026-04-30,1.849,1.717,1.712,0.814
2026-05-01,1.84,1.7,1.683,0.803
2026-05-02,1.862,1.711,1.682,0.803
2026-05-03,1.866,1.713,1.681,0.803
2026-05-04,1.871,1.718,1.683,0.804
2026-05-05,1.875,1.727,1.685,0.804
2026-05-06,1.88,1.728,1.67,0.798
2026-05-07,1.873,1.723,1.662,0.794
2026-05-08,1.871,1.727,1.662,0.794
2026-05-09,1.87,1.743,1.676,0.8
2026-05-10,1.866,1.744,1.676,0.8
2026-05-11,1.864,1.743,1.676,0.8
2026-05-12,1.862,1.755,1.681,0.802
2026-05-13,1.842,1.757,1.681,0.803
2026-05-14,1.834,1.756,1.681,0.802
2026-05-15,1.835,1.758,1.683,0.803
2026-05-16,1.845,1.768,1.697,0.81
2026-05-17,1.844,1.767,1.697,0.81
