Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,0.806,0.717,0.907,0.298
2026-03-17,0.806,0.717,0.907,0.298
2026-03-18,0.806,0.717,0.907,0.298
2026-03-19,0.783,0.698,0.879,0.29
2026-03-20,0.755,0.673,0.852,0.279
2026-03-21,0.785,0.699,0.885,0.29
2026-03-22,0.785,0.7,0.885,0.29
2026-03-23,0.785,0.7,0.885,0.291
2026-03-24,0.785,0.701,0.885,0.291
2026-03-25,0.793,0.707,0.894,0.294
2026-03-26,0.807,0.72,0.91,0.299
2026-03-27,0.804,0.717,0.904,0.298
2026-03-28,0.803,0.716,0.903,0.297
2026-03-29,0.804,0.718,0.904,0.298
2026-03-30,0.805,0.719,0.904,0.299
2026-03-31,0.811,0.725,0.911,0.301
2026-04-01,0.803,0.717,0.902,0.298
2026-04-02,0.812,0.725,0.899,0.301
2026-04-03,0.817,0.73,0.91,0.303
2026-04-04,0.817,0.73,0.911,0.304
2026-04-05,0.817,0.73,0.911,0.304
2026-04-06,0.817,0.73,0.911,0.304
2026-04-07,0.817,0.73,0.911,0.304
2026-04-08,0.825,0.738,0.921,0.307
2026-04-09,0.826,0.738,0.955,0.307
2026-04-10,0.833,0.745,0.965,0.31
2026-04-11,0.837,0.748,0.969,0.311
2026-04-12,0.837,0.748,0.969,0.311
2026-04-13,0.838,0.749,0.969,0.311
2026-04-14,0.845,0.755,0.978,0.314
2026-04-15,0.851,0.761,0.962,0.316
2026-04-16,0.849,0.759,0.941,0.315
2026-04-17,0.842,0.752,0.932,0.312
2026-04-18,0.842,0.753,0.932,0.313
2026-04-19,0.844,0.754,0.934,0.313
2026-04-20,0.845,0.755,0.942,0.313
2026-04-21,0.858,0.767,0.951,0.318
2026-04-22,0.859,0.768,0.966,0.318
