Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.683,1.495,,0.71
2026-03-17,1.682,1.495,,0.71
2026-03-18,1.682,1.495,,0.71
2026-03-19,1.684,1.495,,0.71
2026-03-20,1.684,1.495,,0.71
2026-03-21,1.684,1.493,,0.706
2026-03-22,1.7,1.508,,0.709
2026-03-23,1.705,1.512,,0.712
2026-03-24,1.705,1.513,,0.712
2026-03-25,1.702,1.509,,0.709
2026-03-26,1.704,1.51,,0.71
2026-03-27,1.705,1.51,,0.71
2026-03-28,1.705,1.51,,0.709
2026-03-29,1.712,1.512,,0.71
2026-03-30,1.72,1.519,,0.713
2026-03-31,1.725,1.513,,0.71
2026-04-01,1.732,1.519,,0.709
2026-04-02,1.745,1.532,,0.71
2026-04-03,1.744,1.531,,0.71
2026-04-04,1.752,1.539,,0.711
2026-04-05,1.751,1.538,,0.71
