Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.528,1.466,1.698,0.859
2026-03-17,1.528,1.466,1.698,0.859
2026-03-18,1.528,1.466,1.698,0.859
2026-03-19,1.528,1.466,1.698,0.859
2026-03-20,1.54,1.477,1.698,0.861
2026-03-21,1.542,1.48,1.698,0.861
2026-03-22,1.555,1.491,1.698,0.861
2026-03-23,1.558,1.494,1.698,0.859
2026-03-24,1.715,1.604,1.698,0.859
2026-03-25,1.719,1.606,1.698,0.859
2026-03-26,1.72,1.604,1.698,0.858
2026-03-27,1.719,1.602,1.698,0.861
2026-03-28,1.721,1.603,1.698,0.861
2026-03-29,1.721,1.603,1.698,0.861
2026-03-30,1.721,1.603,1.698,0.858
2026-03-31,1.825,1.637,1.698,0.858
2026-04-01,1.83,1.637,1.698,1.005
2026-04-02,1.83,1.637,1.698,1.053
2026-04-03,1.827,1.635,1.698,1.056
2026-04-04,1.829,1.636,1.698,1.057
2026-04-05,1.829,1.636,1.698,1.057
2026-04-06,1.829,1.636,1.698,1.057
