Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.549,1.527,1.654,0.701
2026-03-17,1.549,1.527,1.654,0.701
2026-03-18,1.549,1.527,1.654,0.701
2026-03-19,1.556,1.528,1.654,0.709
2026-03-20,1.576,1.529,1.654,0.709
2026-03-21,1.661,1.533,1.654,0.709
2026-03-22,1.661,1.534,1.714,0.709
2026-03-23,1.665,1.535,1.714,0.709
2026-03-24,1.682,1.546,1.714,0.709
2026-03-25,1.723,1.555,1.714,0.71
2026-03-26,1.731,1.557,1.714,0.748
2026-03-27,1.719,1.556,1.714,0.748
2026-03-28,1.733,1.556,1.714,0.748
2026-03-29,1.735,1.559,1.714,0.759
2026-03-30,1.736,1.558,1.714,0.759
2026-03-31,1.753,1.569,1.714,0.766
2026-04-01,1.758,1.57,1.714,0.799
2026-04-02,1.758,1.572,1.714,0.799
2026-04-03,1.801,1.591,1.714,0.849
2026-04-04,1.819,1.601,1.764,0.849
2026-04-05,1.818,1.603,1.764,0.849
2026-04-06,1.818,1.605,1.764,0.849
2026-04-07,1.822,1.607,1.764,0.849
2026-04-08,1.842,1.606,1.764,0.849
2026-04-09,1.836,1.612,1.764,0.849
2026-04-10,1.861,1.631,1.764,0.849
2026-04-11,1.889,1.637,1.764,0.864
2026-04-12,1.888,1.638,1.794,0.864
2026-04-13,1.888,1.638,1.794,0.864
2026-04-14,1.881,1.641,1.794,0.864
2026-04-15,1.869,1.643,1.794,0.864
2026-04-16,1.869,1.644,1.794,0.864
2026-04-17,1.859,1.648,1.794,0.864
2026-04-18,1.855,1.649,1.809,0.864
2026-04-19,1.853,1.65,1.809,0.864
2026-04-20,1.852,1.651,1.809,0.864
2026-04-21,1.847,1.665,1.809,0.893
2026-04-22,1.834,1.673,1.809,0.894
2026-04-23,1.821,1.679,1.789,0.894
