Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.867,1.744,1.881,0.961
2026-03-17,1.869,1.745,1.881,0.961
2026-03-18,1.869,1.745,1.881,0.961
2026-03-19,1.882,1.76,1.895,0.983
2026-03-20,1.907,1.777,1.916,0.988
2026-03-21,1.937,1.798,1.935,0.991
2026-03-22,1.838,1.673,1.762,0.933
2026-03-23,1.787,1.607,1.709,0.923
2026-03-24,1.772,1.585,1.704,0.914
2026-03-25,1.77,1.576,1.702,0.922
2026-03-26,1.765,1.567,1.695,0.922
2026-03-27,1.762,1.556,1.689,0.923
2026-03-28,1.766,1.55,1.685,0.924
2026-03-29,1.772,1.55,1.686,0.924
2026-03-30,1.774,1.549,1.686,0.924
2026-03-31,1.779,1.547,1.686,0.925
2026-04-01,1.787,1.551,1.696,0.926
2026-04-02,1.792,1.552,1.697,0.929
2026-04-03,1.795,1.553,1.697,0.93
