Datum (ANWB),Diesel (B7),E10,E5,Lpg
17-03-2026,1.328,1.237,,0.596
2026-03-17,1.328,1.237,,0.596
2026-03-18,1.328,1.237,,0.596
2026-03-19,1.329,1.249,,0.596
2026-03-20,1.417,1.237,,0.591
2026-03-21,1.411,1.237,,0.59
2026-03-22,1.408,1.237,,0.591
2026-03-23,1.41,1.239,,0.592
2026-03-24,1.533,1.259,,0.592
2026-03-25,1.466,1.242,,0.589
2026-03-26,1.457,1.241,,0.589
2026-03-27,1.366,1.248,,0.591
2026-03-28,1.479,1.247,,0.591
2026-03-29,1.479,1.247,,0.591
2026-03-30,1.486,1.253,,0.593
2026-03-31,1.489,1.256,,0.595
2026-04-01,1.523,1.244,,0.589
2026-04-02,1.52,1.242,,0.658
2026-04-03,1.525,1.246,,0.66
2026-04-04,1.527,1.247,,0.66
2026-04-05,1.529,1.249,,0.661
2026-04-06,1.528,1.248,,0.661
2026-04-07,1.523,1.244,,0.659
2026-04-08,1.648,1.242,,0.651
2026-04-09,1.656,1.248,,0.654
2026-04-10,1.417,1.219,,0.65
2026-04-11,1.485,1.224,,0.648
2026-04-12,1.485,1.224,,0.648
2026-04-13,1.49,1.228,,0.65
2026-04-14,1.4,1.219,,0.645
2026-04-15,1.455,1.215,,0.643
2026-04-16,1.382,1.215,,0.642
2026-04-17,1.381,1.214,,0.642
2026-04-18,1.381,1.214,,0.642
2026-04-19,1.383,1.216,,0.643
2026-04-20,1.386,1.218,,0.644
2026-04-21,1.38,1.214,,0.642
2026-04-22,1.383,1.216,,0.643
2026-04-23,1.348,1.221,,0.645
2026-04-24,1.349,1.222,,0.646
2026-04-25,1.349,1.222,,0.646
