Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,1.894,1.855,1.785,1.136
2026-03-19,1.906,1.86,1.784,1.136
2026-03-20,1.925,1.866,1.8,1.138
2026-03-21,1.938,1.869,1.792,1.129
2026-03-22,1.953,1.874,1.793,1.13
2026-03-23,1.969,1.88,1.797,1.132
2026-03-24,2.003,1.894,1.824,1.132
2026-03-25,2.031,1.908,1.833,1.135
2026-03-26,2.042,1.91,1.84,1.134
2026-03-27,2.048,1.914,1.849,1.129
2026-03-28,2.037,1.901,1.84,1.122
2026-03-29,2.059,1.921,1.853,1.128
2026-03-30,2.061,1.92,1.852,1.126
2026-03-31,2.1,1.938,1.856,1.125
2026-04-01,2.107,1.934,1.857,1.12
2026-04-02,2.126,1.962,1.874,1.123
2026-04-03,2.138,1.97,1.875,1.122
2026-04-04,2.148,1.974,1.875,1.122
2026-04-05,2.16,1.981,1.903,1.109
