Datum,Diesel (B7),E10,E5,Lpg
2026-03-18,0.759,0.759,0.777,0.371
2026-03-19,0.743,0.743,0.76,0.363
2026-03-20,0.726,0.726,0.743,0.355
2026-03-21,0.739,0.739,0.757,0.361
2026-03-22,0.741,0.741,0.758,0.362
2026-03-23,0.743,0.743,0.76,0.363
2026-03-24,0.743,0.743,0.76,0.363
2026-03-25,0.753,0.753,0.771,0.368
2026-03-26,0.758,0.758,0.775,0.37
2026-03-27,0.751,0.751,0.769,0.367
2026-03-28,0.768,0.768,0.774,0.369
2026-03-29,0.771,0.771,0.776,0.371
2026-03-30,0.774,0.774,0.78,0.373
2026-03-31,0.773,0.773,0.779,0.372
2026-04-01,0.767,0.767,0.773,0.369
2026-04-02,0.766,0.766,0.772,0.369
2026-04-03,0.772,0.772,0.778,0.371
2026-04-04,0.775,0.775,0.781,0.373
